시도,위도,경도,등록외국인수
강원도,37.8228,128.1555,862999
경기도,37.4138,127.5183,15095034
경상남도,35.4606,128.2132,3004346
경상북도,36.6304,128.962,2342387
광주광역시,35.1595,126.8526,884328
대구광역시,35.8722,128.6025,1168324
대전광역시,36.3504,127.3845,822252
부산광역시,35.1796,129.0756,1720396
서울특별시,37.5665,126.978,9046735
세종특별자치시,36.48,127.289,204881
울산광역시,35.5384,129.3114,802016
인천광역시,37.4563,126.7052,2861233
전라남도,34.8161,126.463,1671289
전라북도,35.7167,127.1442,1410547
제주특별자치도,33.4996,126.5312,877805
충청남도,36.5184,126.8,2924346
충청북도,36.6357,127.4917,1698269
